ID;ID service provenance;ID service receveur;Temps moy;Heure de RDV;Nb Brancardiers;Retour;Mode de transport;ID brancardiers;Nom brancardiers;heure_depart;heure_depart_avant_retard;priorite;ordre;Retard
3686;62;60;;08h00;2;0;Lit;;;;;;;
3688;62;60;;08h50;1;0;Brancard;;;;;;;
3692;26;70;;09h20;2;0;Fauteuil;;;;;;;
3698;62;29;;09h35;1;0;Fauteuil;;;;;;;
3697;18;60;;09h49;1;0;Lit;;;;;;;
3678;51;60;;10h10;1;1;Brancard;;;;;;;
3704;62;29;;10h17;1;1;Fauteuil;;;;;;;
3700;51;60;;10h20;1;1;Brancard;;;;;;;
3703;26;157;;10h30;1;0;Brancard;;;;;;;
3705;26;157;;10h43;1;0;Lit;;;;;;;
3690;26;157;;10h55;1;0;Lit;;;;;;;
3712;26;157;;11h0;1;0;Brancard;;;;;;;
3710;26;70;;11h15;2;1;Fauteuil;;;;;;;
3716;110;81;;11h16;2;0;Brancard;;;;;;;
3717;51;60;;11h25;1;1;Brancard;;;;;;;
3685;26;157;;11h46;1;1;Brancard;;;;;;;
3724;26;70;;11h50;2;0;Fauteuil;;;;;;;
3723;110;81;;12h0;1;1;Brancard;;;;;;;
3726;26;70;;12h10;1;0;Fauteuil;;;;;;;
3728;51;60;;12h21;2;1;Brancard;;;;;;;
3702;90;74;;12h40;1;0;Lit;;;;;;;
3733;62;60;;12h40;1;1;Lit;;;;;;;
3734;18;301;;12h46;1;0;Brancard;;;;;;;
3735;62;60;;13h0;1;1;Brancard;;;;;;;
3708;62;60;;13h4;1;0;Lit;;;;;;;
3737;51;60;;13h15;2;1;Brancard;;;;;;;
3721;26;157;;13h55;1;1;Lit;;;;;;;
3740;26;70;;14h20;1;1;Fauteuil;;;;;;;
3738;18;301;;14h24;1;1;Brancard;;;;;;;
3743;86;828;;14h30;1;0;Brancard;;;;;;;
3742;90;60;;14h35;2;1;Brancard;;;;;;;
3739;51;60;;14h35;2;1;Brancard;;;;;;;
3744;18;60;;14h45;2;1;Lit;;;;;;;
3746;26;81;;15h0;1;0;Fauteuil;;;;;;;
3745;86;828;;15h0;2;1;Brancard;;;;;;;
3748;26;70;;15h15;1;1;Fauteuil;;;;;;;
3682;51;60;;15h30;2;1;Brancard;;;;;;;
3696;26;81;;15h40;1;0;Brancard;;;;;;;
3694;86;828;;15h40;1;0;Brancard;;;;;;;
3706;51;60;;15h45;1;1;Brancard;;;;;;;
3707;26;81;;15h50;1;0;Lit;;;;;;;
3718;26;81;;15h55;1;1;Fauteuil;;;;;;;
3679;86;81;;16h0;1;0;Fauteuil;;;;;;;
3731;26;35;;16h3;1;0;Lit;;;;;;;
3732;26;81;;16h25;1;1;Brancard;;;;;;;
3719;51;60;;16h30;1;1;Brancard;;;;;;;
3681;26;81;;16h30;2;0;Fauteuil;;;;;;;
3749;26;35;;16h36;2;1;Lit;;;;;;;
3747;26;81;;16h55;1;1;Lit;;;;;;;
3755;62;29;;17h15;2;0;Lit;;;;;;;
